N1	N2	time	env
250.000000	250.000000	0.000000	11.000000
243.396968	243.396967	1.000000	-13.848226
237.075543	237.075528	2.000000	-9.917705
231.020421	231.018307	3.000000	-3.063527
225.211383	225.209337	4.000000	-16.864447
219.635894	219.633912	5.000000	-15.468384
214.296212	214.278431	6.000000	0.276947
209.149069	209.130352	7.000000	-3.446831
204.196989	204.178108	8.000000	-4.463755
199.429275	199.410946	9.000000	-17.913947
194.836760	194.818886	10.000000	-7.591052
190.410018	190.392651	11.000000	-25.037432
186.715996	186.425322	12.000000	7.413431
182.576657	182.293985	13.000000	-10.044424
178.579885	178.304891	14.000000	-13.780079
174.719115	174.450989	15.000000	-4.775655
170.986729	170.725686	16.000000	-22.532229
167.377147	167.122812	17.000000	-7.022943
163.884378	163.636582	18.000000	-14.005368
160.503099	160.261573	19.000000	-9.037820
157.228166	156.992690	20.000000	-13.314785
155.693125	158.766787	21.000000	10.335233
152.562945	155.554534	22.000000	-0.771524
149.522329	152.440780	23.000000	-12.220382
146.573243	149.421208	24.000000	-24.107946
143.712085	146.491741	25.000000	-5.026244
141.759117	144.824054	26.000000	8.869315
139.037176	142.030346	27.000000	-9.669098
136.393292	139.317180	28.000000	-31.006278
133.824378	136.681240	29.000000	-6.624842
131.327204	134.119392	30.000000	-13.426431
128.899008	131.628667	31.000000	-15.940342
126.563820	129.206279	32.000000	2.097478
124.264925	126.849441	33.000000	-29.405350
122.027298	124.555723	34.000000	-13.842324
119.848630	122.322722	35.000000	-9.393551
117.726691	120.148157	36.000000	-27.548969
115.659398	118.029858	37.000000	-24.832084
113.644775	115.965763	38.000000	-8.519595
111.680892	113.953908	39.000000	-9.379230
109.765941	111.992422	40.000000	-11.569428
107.988205	110.083641	41.000000	4.675217
106.164041	108.217346	42.000000	-24.324822
104.383944	106.396332	43.000000	-21.711492
102.646414	104.619051	44.000000	-12.534551
100.950017	102.884023	45.000000	-22.474944
99.295526	101.189834	46.000000	-1.728174
97.677298	99.535132	47.000000	-16.527787
96.096292	97.918628	48.000000	-8.261230
94.551265	96.339084	49.000000	-19.485278
93.041090	94.795318	50.000000	-24.012267
91.648511	93.290852	51.000000	4.859202
90.203082	91.815036	52.000000	-11.076379
88.789384	90.371746	53.000000	-28.645948
87.406448	88.959979	54.000000	-26.100492
86.053341	87.578778	55.000000	-13.987601
84.741178	86.227220	56.000000	1.388884
83.444914	84.904400	57.000000	-6.468232
82.175835	83.609489	58.000000	-9.526027
80.933206	82.341671	59.000000	-16.995017
79.716291	81.100159	60.000000	-7.978560
78.524316	79.884197	61.000000	-9.635505
77.356583	78.693058	62.000000	-15.449586
76.212419	77.526043	63.000000	-10.782704
75.091164	76.382476	64.000000	-13.126681
73.992186	75.261709	65.000000	-13.802930
72.914877	74.163116	66.000000	-21.310798
71.858658	73.086092	67.000000	-9.027900
70.826251	72.030055	68.000000	-0.490894
69.810447	70.994442	69.000000	-19.512453
68.814084	69.978716	70.000000	-31.164840
67.836654	68.982353	71.000000	-27.270618
66.877664	68.004848	72.000000	-30.620932
65.936640	67.045715	73.000000	-19.491815
65.013123	66.104482	74.000000	-25.353518
64.106669	65.180694	75.000000	-31.539754
63.216848	64.273911	76.000000	-28.552271
62.343248	63.383709	77.000000	-20.778083
61.485465	62.509675	78.000000	-20.627889
60.643113	61.651411	79.000000	-30.529969
59.815815	60.808533	80.000000	-35.848767
59.003207	59.980666	81.000000	-29.563033
58.204940	59.167451	82.000000	-11.210156
57.420668	58.368538	83.000000	-46.649886
56.650063	57.583587	84.000000	-25.584663
55.892804	56.812270	85.000000	-32.599813
55.148581	56.054270	86.000000	-22.368992
54.417093	55.309277	87.000000	-21.940084
53.698048	54.576993	88.000000	-50.189880
52.991162	53.857127	89.000000	-18.960404
52.296161	53.149398	90.000000	-20.199615
51.612778	52.453533	91.000000	-24.233900
50.940754	51.769266	92.000000	-25.275985
50.279839	51.096340	93.000000	-34.140715
49.629787	50.434505	94.000000	-18.787630
48.990361	49.783518	95.000000	-31.370036
48.361332	49.143144	96.000000	-19.679115
47.742475	48.513153	97.000000	-27.536195
47.133574	47.893323	98.000000	-13.374172
46.534415	47.283437	99.000000	-32.653489
45.944795	46.683284	100.000000	-23.991547
45.364512	46.092660	101.000000	-20.031729
44.793372	45.511366	102.000000	-31.221684
44.231187	44.939208	103.000000	-26.761568
43.677771	44.375997	104.000000	-30.693351
43.132946	43.821551	105.000000	-40.766571
42.596536	43.275690	106.000000	-33.482861
42.068373	42.738241	107.000000	-31.889027
41.548291	42.209035	108.000000	-27.935771
41.036128	41.687906	109.000000	-36.158265
40.531728	41.174695	110.000000	-23.394426
40.034938	40.669245	111.000000	-25.540863
39.545608	40.171403	112.000000	-21.787322
39.063594	39.681021	113.000000	-22.657590
38.588753	39.197954	114.000000	-32.006591
38.120949	38.722062	115.000000	-24.029267
37.660045	38.253205	116.000000	-21.465977
